batch_size,epochs,optimizer,activation,mse,mae,r2,rmse
10,100,adam_01,sigmoid,0.5507389670917684,0.5843142271597254,-0.1342827358354175,0.7421178929872049
10,120,sgd_001,relu,0.07203922529041888,0.2097910262740987,0.8516305283764954,0.2684012393608101
10,120,sgd_001,tanh,0.06855983087908146,0.2044468651040025,0.8587965675488873,0.2618393226371499
10,120,sgd_001,sigmoid,0.07276827785843744,0.2093057105386515,0.8501289971778103,0.26975595982005185
10,120,sgd_0001,relu,0.07522637403874298,0.21304732243352245,0.845066388161661,0.2742742679121448
10,120,sgd_0001,tanh,0.07570973985574407,0.21560183546904124,0.8440708648119831,0.27515402932856364
10,120,sgd_0001,sigmoid,0.08429032219039095,0.227694199644587,0.8263985972094211,0.29032795626737523
10,120,adam_001,relu,0.07739802388854183,0.21441448285456705,0.8405937340004457,0.27820500334922416
10,120,adam_001,tanh,0.09405349764113562,0.23572449404864068,0.8062907021403828,0.3066814269582291
10,120,adam_001,sigmoid,0.08929128565437498,0.22927061043642524,0.816098787574205,0.29881647487107366
10,120,adam_0001,relu,0.07868048605311052,0.2154367279014651,0.8379524197307946,0.28050042077171744
10,120,adam_0001,tanh,0.07421115870561443,0.21108989378378515,0.8471572901938959,0.2724172511160305
10,120,adam_0001,sigmoid,0.06843518538472143,0.2023894531437244,0.8590532830544177,0.26160119530445847
10,120,sgd_005,relu,0.08597964875666077,0.22141772443958602,0.8229193192323669,0.2932228653373757
10,120,sgd_005,tanh,0.07089141132728687,0.20626201911297895,0.8539945259145788,0.26625441090672447
10,120,sgd_005,sigmoid,0.06722268053485271,0.20229895656001748,0.8615505156827632,0.25927337027711256
10,120,sgd_01,relu,0.09127161068660256,0.23526018109377134,0.8120201793230766,0.3021119174852302
10,120,sgd_01,tanh,0.07273125859561103,0.20765484440148174,0.8502052407582112,0.2696873348817312
10,120,sgd_01,sigmoid,0.06706090540786888,0.2028188605078445,0.8618837020824732,0.25896120444550935
10,120,adam_005,relu,0.08236790098082038,0.22565033607990692,0.8303579487703511,0.286998085326053
10,120,adam_005,tanh,0.14245457631236508,0.3049871752226412,0.7066055314641639,0.37743155182412225
10,120,adam_005,sigmoid,0.12323279308420847,0.27625159995924814,0.7461940446627149,0.35104528637229765
10,120,adam_01,relu,0.4879808871873858,0.5675511615803952,-0.005028387000029388,0.698556287773137
10,120,adam_01,tanh,0.23356932956906523,0.39158927884950817,0.5189487688698478,0.48329010911570003
10,120,adam_01,sigmoid,0.765719030671928,0.7383087245477813,-0.5770481641751624,0.8750537301628558
10,150,sgd_001,relu,0.07516619512048399,0.21656530198558988,0.8451903305592778,0.27416454023174475
10,150,sgd_001,tanh,0.07557663005896534,0.21586569713078407,0.8443450130990636,0.27491204058564866
10,150,sgd_001,sigmoid,0.0701890128859097,0.20635067119376233,0.8554411612052301,0.2649320910835637
10,150,sgd_0001,relu,0.06896793340741277,0.20387555196162271,0.8579560538391323,0.26261746592222834
10,150,sgd_0001,tanh,0.07280435209671875,0.2106154785140382,0.8500546999369468,0.26982281611590736
10,150,sgd_0001,sigmoid,0.08467294700044205,0.22746915137311585,0.8256105565181385,0.29098616290202195
10,150,adam_001,relu,0.07325493320724556,0.21064866335737129,0.8491266988233468,0.2706564856182936
10,150,adam_001,tanh,0.09132592048118814,0.23500086144083948,0.8119083247675318,0.30220178768694955
10,150,adam_001,sigmoid,0.08673451207707436,0.2290116720786706,0.8213646291097814,0.2945072360351683
10,150,adam_0001,relu,0.07856108465147775,0.21749790657776566,0.8381983346861532,0.2802875035592521
10,150,adam_0001,tanh,0.08107945762912973,0.21725875276099027,0.833011581684038,0.2847445480235394
10,150,adam_0001,sigmoid,0.06754716212271754,0.2008524336553056,0.8608822247405858,0.2598983688342763
10,150,sgd_005,relu,0.09079228100776934,0.22972659061831766,0.8130073899835916,0.30131757500645284
10,150,sgd_005,tanh,0.08364356019949545,0.22581459288985875,0.8277306456103927,0.2892119641361599
10,150,sgd_005,sigmoid,0.06842935283444679,0.20558728794091555,0.8590652955711957,0.26159004727712176
10,150,sgd_01,relu,0.07904640010580216,0.2140964084695064,0.8371987959315573,0.28115191641851234
10,150,sgd_01,tanh,0.07198647685641359,0.2061486644713137,0.8517391672083372,0.26830295722636677
10,150,sgd_01,sigmoid,0.07742769017597295,0.22080305535067338,0.8405326343512831,0.27825831555583913
10,150,adam_005,relu,0.4980403517242136,0.5681137665416953,-0.025746508719517447,0.7057197402115188
10,150,adam_005,tanh,0.17784786653524803,0.33013341138842894,0.6337107474320415,0.4217201282073788
10,150,adam_005,sigmoid,0.4856462770728059,0.5706555450141133,-0.00022010557070117898,0.6968832592858045
10,150,adam_01,relu,0.4869494104597619,0.5680327327080852,-0.002903993567805019,0.6978176054383852
10,150,adam_01,tanh,0.4791633305633203,0.5636430559142457,0.013131944570012322,0.6922162455210946
10,150,adam_01,sigmoid,0.7505049705080757,0.7302832659786433,-0.5457138173848008,0.8663168995858708
20,20,sgd_001,relu,0.09077173689047396,0.2384916750087516,0.8130497019298375,0.30128348260479526
20,20,sgd_001,tanh,0.081802105936781,0.22599676059208773,0.831523240476264,0.28601067451544704
20,20,sgd_001,sigmoid,0.08521910879832298,0.22790948267189318,0.8244857007601003,0.2919231213835639
20,20,sgd_0001,relu,0.09206946261190267,0.23903824280581734,0.8103769513717299,0.3034295018812486
20,20,sgd_0001,tanh,0.09370170791262397,0.23831121844182196,0.8070152359749907,0.30610734704123643
20,20,sgd_0001,sigmoid,0.23973816072109755,0.3933840670323809,0.5062436597453139,0.489630637032751
20,20,adam_001,relu,0.07489937953077538,0.2118483720404931,0.8457398546262898,0.2736775100931302
20,20,adam_001,tanh,0.08523500014728629,0.2291798540439066,0.8244529714929606,0.2919503384948993
